iso_week,project_week,week_start,files_changed,insertions,deletions,churn,net_loc_change,commits_with_diff
2026-W11,1,2026-03-09,72,2557,291,2848,2266,24
2026-W12,2,2026-03-16,,,,,,
2026-W13,3,2026-03-23,,,,,,
2026-W14,4,2026-03-30,4727,814067,4710,818777,809357,84
2026-W15,5,2026-04-06,3641,567155,112215,679370,454940,828
2026-W16,6,2026-04-13,1396,86714,22902,109616,63812,537
2026-W17,7,2026-04-20,9175,654051,1185322,1839373,-531271,1086
2026-W18,8,2026-04-27,4161,533768,78175,611943,455593,900
2026-W19,9,2026-05-04,6491,512107,54448,566555,457659,1446
2026-W20,10,2026-05-11,13248,882222,617455,1499677,264767,1440
2026-W21,11,2026-05-18,16561,785095,136768,921863,648327,1934
2026-W22,12,2026-05-25,12389,519364,264983,784347,254381,3327
2026-W23,13,2026-06-01,13043,604879,71387,676266,533492,1885
2026-W24,14,2026-06-08,6725,344983,45375,390358,299608,1126
2026-W25,15,2026-06-15,8097,837602,61414,899016,776188,2094
2026-W26,16,2026-06-22,5294,341322,601820,943142,-260498,1352
2026-W27,17,2026-06-29,4619,308739,99503,408242,209236,995
2026-W28,18,2026-07-06,1795,135805,8333,144138,127472,617
2026-W29,19,2026-07-13,7610,3075974,2559715,5635689,516259,1689
2026-W30,20,2026-07-20,4508,690086,334482,1024568,355604,1431
2026-W31,21,2026-07-27,11988,211805,21417,233222,190388,1161
2026-W32,22,2026-08-03,4398,282077,48452,330529,233625,1339
2026-W33,23,2026-08-10,2963,494405,13298,507703,481107,801
2026-W34,24,2026-08-17,3412,262936,24832,287768,238104,1052
2026-W35,25,2026-08-24,6369,470005,22557,492562,447448,1286
2026-W36,26,2026-08-31,4425,356794,24180,380974,332614,1034
2026-W37,27,2026-09-07,3755,356536,17524,374060,339012,1261
2026-W38,28,2026-09-14,3907,410714,23944,434658,386770,796
2026-W39,29,2026-09-21,1545,135594,5871,141465,129723,488
