iso_week,project_week,week_start,commits_all,commits_agent,commits_automation,commits_human_or_unknown
2026-W11,1,2026-03-09,24,0,0,24
2026-W12,2,2026-03-16,0,0,0,0
2026-W13,3,2026-03-23,0,0,0,0
2026-W14,4,2026-03-30,84,6,0,78
2026-W15,5,2026-04-06,828,753,0,75
2026-W16,6,2026-04-13,537,527,0,10
2026-W17,7,2026-04-20,1086,1070,0,16
2026-W18,8,2026-04-27,900,883,0,17
2026-W19,9,2026-05-04,1446,1424,0,22
2026-W20,10,2026-05-11,1440,1430,0,10
2026-W21,11,2026-05-18,1934,1747,0,187
2026-W22,12,2026-05-25,3332,2895,0,437
2026-W23,13,2026-06-01,1891,1668,1,222
2026-W24,14,2026-06-08,1130,1088,17,25
2026-W25,15,2026-06-15,2101,2043,11,47
2026-W26,16,2026-06-22,1354,1342,5,7
2026-W27,17,2026-06-29,995,971,0,24
2026-W28,18,2026-07-06,617,614,0,3
2026-W29,19,2026-07-13,1690,1646,30,14
2026-W30,20,2026-07-20,1431,1234,130,67
2026-W31,21,2026-07-27,1161,1078,14,69
2026-W32,22,2026-08-03,1339,771,513,55
2026-W33,23,2026-08-10,801,102,650,49
2026-W34,24,2026-08-17,1052,200,811,41
2026-W35,25,2026-08-24,1286,183,1000,103
2026-W36,26,2026-08-31,1034,142,827,65
2026-W37,27,2026-09-07,1261,555,666,40
2026-W38,28,2026-09-14,796,78,680,38
2026-W39,29,2026-09-21,489,32,439,18
