iso_week,project_week,week_start,sha,lint_files,gate_scripts_ourdef,system_model_py_files
2026-W11,1,2026-03-09,c57785f9c8b02e96beedb0cb26a1873f5e9ec23a,0,0,0
2026-W12,2,2026-03-16,,,,
2026-W13,3,2026-03-23,,,,
2026-W14,4,2026-03-30,dc8f85169d330682ac7b4bf749dd30dce12f4c17,0,0,0
2026-W15,5,2026-04-06,40aa69a56ee553c1816f2e4e36453e7a7c411300,0,1,0
2026-W16,6,2026-04-13,0c8cadc88270a12245b386a8981e8121c62c7943,0,1,0
2026-W17,7,2026-04-20,eeb21f6ebff7776a0f60d54201ff87deaec4a319,0,3,0
2026-W18,8,2026-04-27,bc14b9d7ce713e3fe5ea80d48cb1cafa04f54a94,0,4,0
2026-W19,9,2026-05-04,237d51e860675949c176e7a99c3aa3390cfd624b,30,5,0
2026-W20,10,2026-05-11,b5880336b9528f9c378beefe5cd627119680501a,37,5,0
2026-W21,11,2026-05-18,0e1939ec33737ddbe1ac6bc85068647677d01a4c,261,21,13
2026-W22,12,2026-05-25,bfeec290f6511c3b5b4d21f09be6c8c6adb50d7d,336,25,22
2026-W23,13,2026-06-01,1af79e82a167a8549760583596f5f9303202e76d,395,43,27
2026-W24,14,2026-06-08,fcdd54b17ee77e06680bd21434b6664c02eae903,469,53,34
2026-W25,15,2026-06-15,f01de64a6dc39d68b4715783a23795ae0279487d,538,61,38
2026-W26,16,2026-06-22,e0bfc151ad39968c94548daee60abeadabc3930a,590,72,56
2026-W27,17,2026-06-29,82e2da7f206fd077f46a5578361da00e159f8f83,604,72,57
2026-W28,18,2026-07-06,9671cbfde0942af2c9ca0dc55fa96f3f3f0ca3cd,635,73,58
2026-W29,19,2026-07-13,51fe2989e855514d8869bf58aad5143d28e52711,668,81,70
2026-W30,20,2026-07-20,290ca1e21f9a36cd3fb4c7a01e699ea6e70ee914,718,84,100
2026-W31,21,2026-07-27,63826bd3512305556af5a7287d03092580625901,746,95,109
2026-W32,22,2026-08-03,14085b72e4f4982bbc30c7adfa701169ad67cee4,780,102,146
2026-W33,23,2026-08-10,325522035f5b1301a92d006180b74d3e13c79a8a,813,103,155
2026-W34,24,2026-08-17,001c24368db2a6e5c4cd3f0015150edd3d8b56bf,854,111,182
2026-W35,25,2026-08-24,9a210a31b96b780bc9857efe450db4fc05769f83,896,121,209
2026-W36,26,2026-08-31,79c7d6c5543f9447bbae6ae38a9e55a8d8b9f623,926,124,227
2026-W37,27,2026-09-07,69f5f3331a1e66b177260ee0f3744f90bd5c4489,958,133,274
2026-W38,28,2026-09-14,03e8ab76d306e9d769c6795a8fc644b1b1d5bb11,980,138,299
2026-W39,29,2026-09-21,b1b94b5aed87d169753659e4953b05f20357e5bf,990,142,300
