iso_week,project_week,week_start,commits_all,human_or_unknown,agent_authored,automation_integrated,agent_driven_total,human_fraction,agent_driven_fraction
2026-W11,1,2026-03-09,24,24,0,0,0,1.0,0.0
2026-W12,2,2026-03-16,0,0,0,0,0,,
2026-W13,3,2026-03-23,0,0,0,0,0,,
2026-W14,4,2026-03-30,84,78,6,0,6,0.9286,0.0714
2026-W15,5,2026-04-06,828,75,753,0,753,0.0906,0.9094
2026-W16,6,2026-04-13,537,10,527,0,527,0.0186,0.9814
2026-W17,7,2026-04-20,1086,16,1070,0,1070,0.0147,0.9853
2026-W18,8,2026-04-27,900,17,883,0,883,0.0189,0.9811
2026-W19,9,2026-05-04,1446,22,1424,0,1424,0.0152,0.9848
2026-W20,10,2026-05-11,1440,10,1430,0,1430,0.0069,0.9931
2026-W21,11,2026-05-18,1934,187,1747,0,1747,0.0967,0.9033
2026-W22,12,2026-05-25,3332,437,2895,0,2895,0.1312,0.8688
2026-W23,13,2026-06-01,1891,222,1668,1,1669,0.1174,0.8826
2026-W24,14,2026-06-08,1130,25,1088,17,1105,0.0221,0.9779
2026-W25,15,2026-06-15,2101,47,2043,11,2054,0.0224,0.9776
2026-W26,16,2026-06-22,1354,7,1342,5,1347,0.0052,0.9948
2026-W27,17,2026-06-29,995,24,971,0,971,0.0241,0.9759
2026-W28,18,2026-07-06,617,3,614,0,614,0.0049,0.9951
2026-W29,19,2026-07-13,1690,14,1646,30,1676,0.0083,0.9917
2026-W30,20,2026-07-20,1431,67,1234,130,1364,0.0468,0.9532
2026-W31,21,2026-07-27,1161,69,1078,14,1092,0.0594,0.9406
2026-W32,22,2026-08-03,1339,55,771,513,1284,0.0411,0.9589
2026-W33,23,2026-08-10,801,49,102,650,752,0.0612,0.9388
2026-W34,24,2026-08-17,1052,41,200,811,1011,0.039,0.961
2026-W35,25,2026-08-24,1286,103,183,1000,1183,0.0801,0.9199
2026-W36,26,2026-08-31,1034,65,142,827,969,0.0629,0.9371
2026-W37,27,2026-09-07,1261,40,555,666,1221,0.0317,0.9683
2026-W38,28,2026-09-14,796,38,78,680,758,0.0477,0.9523
2026-W39,29,2026-09-21,489,18,32,439,471,0.0368,0.9632
