iso_week,project_week,week_start,deploy_release_commits
2026-W11,1,2026-03-09,0
2026-W12,2,2026-03-16,0
2026-W13,3,2026-03-23,0
2026-W14,4,2026-03-30,1
2026-W15,5,2026-04-06,29
2026-W16,6,2026-04-13,28
2026-W17,7,2026-04-20,55
2026-W18,8,2026-04-27,45
2026-W19,9,2026-05-04,92
2026-W20,10,2026-05-11,60
2026-W21,11,2026-05-18,134
2026-W22,12,2026-05-25,224
2026-W23,13,2026-06-01,67
2026-W24,14,2026-06-08,6
2026-W25,15,2026-06-15,22
2026-W26,16,2026-06-22,102
2026-W27,17,2026-06-29,86
2026-W28,18,2026-07-06,113
2026-W29,19,2026-07-13,154
2026-W30,20,2026-07-20,168
2026-W31,21,2026-07-27,75
2026-W32,22,2026-08-03,88
2026-W33,23,2026-08-10,36
2026-W34,24,2026-08-17,32
2026-W35,25,2026-08-24,51
2026-W36,26,2026-08-31,59
2026-W37,27,2026-09-07,42
2026-W38,28,2026-09-14,26
2026-W39,29,2026-09-21,8
