iso_week,project_week,week_start,epics_created,epics_closed,cum_epics_created,cum_epics_closed,active_epics_estimate
2026-W11,1,2026-03-09,0,0,0,0,0
2026-W12,2,2026-03-16,0,0,0,0,0
2026-W13,3,2026-03-23,0,0,0,0,0
2026-W14,4,2026-03-30,0,0,0,0,0
2026-W15,5,2026-04-06,0,0,0,0,0
2026-W16,6,2026-04-13,0,0,0,0,0
2026-W17,7,2026-04-20,0,0,0,0,0
2026-W18,8,2026-04-27,0,0,0,0,0
2026-W19,9,2026-05-04,0,0,0,0,0
2026-W20,10,2026-05-11,0,0,0,0,0
2026-W21,11,2026-05-18,0,0,0,0,0
2026-W22,12,2026-05-25,111,45,111,45,66
2026-W23,13,2026-06-01,55,24,166,69,97
2026-W24,14,2026-06-08,54,17,220,86,134
2026-W25,15,2026-06-15,77,14,297,100,197
2026-W26,16,2026-06-22,58,12,355,112,243
2026-W27,17,2026-06-29,62,14,417,126,291
2026-W28,18,2026-07-06,55,11,472,137,335
2026-W29,19,2026-07-13,107,48,579,185,394
2026-W30,20,2026-07-20,81,28,660,213,447
2026-W31,21,2026-07-27,52,28,712,241,471
2026-W32,22,2026-08-03,114,32,826,273,553
2026-W33,23,2026-08-10,78,33,904,306,598
2026-W34,24,2026-08-17,97,34,1001,340,661
2026-W35,25,2026-08-24,96,46,1097,386,711
2026-W36,26,2026-08-31,97,17,1194,403,791
2026-W37,27,2026-09-07,89,34,1283,437,846
2026-W38,28,2026-09-14,56,28,1339,465,874
2026-W39,29,2026-09-21,29,14,1368,479,889
