iso_week,project_week,week_start,genai_deploy_calls,genai_deploy_tokens,genai_deploy_cost_usd,genai_deploy_reports
2026-W11,1,2026-03-09,,,,
2026-W12,2,2026-03-16,,,,
2026-W13,3,2026-03-23,,,,
2026-W14,4,2026-03-30,,,,
2026-W15,5,2026-04-06,,,,
2026-W16,6,2026-04-13,,,,
2026-W17,7,2026-04-20,,,,
2026-W18,8,2026-04-27,,,,
2026-W19,9,2026-05-04,,,,
2026-W20,10,2026-05-11,,,,
2026-W21,11,2026-05-18,,,,
2026-W22,12,2026-05-25,,,,
2026-W23,13,2026-06-01,,,,
2026-W24,14,2026-06-08,,,,
2026-W25,15,2026-06-15,,,,
2026-W26,16,2026-06-22,134,269287,0.3724,4
2026-W27,17,2026-06-29,1133,2860495,3.7444,20
2026-W28,18,2026-07-06,626,1224924,1.7451,17
2026-W29,19,2026-07-13,193,361078,0.5626,4
2026-W30,20,2026-07-20,1992,4559909,8.0037,13
2026-W31,21,2026-07-27,1342,3131080,5.9254,8
2026-W32,22,2026-08-03,1613,3345289,5.3839,21
2026-W33,23,2026-08-10,999,1907059,2.9626,13
2026-W34,24,2026-08-17,1316,2529257,3.954,17
2026-W35,25,2026-08-24,2023,3947581,6.1238,27
2026-W36,26,2026-08-31,2576,4986536,7.7208,35
2026-W37,27,2026-09-07,824,1589094,2.4843,11
2026-W38,28,2026-09-14,814,1821179,2.599,10
2026-W39,29,2026-09-21,405,928320,1.2982,5
