iso_week,project_week,week_start,conversions_new,confirmations_new,cum_conversions,cum_confirmations
2026-W11,1,2026-03-09,0,0,0,0
2026-W12,2,2026-03-16,0,0,0,0
2026-W13,3,2026-03-23,0,0,0,0
2026-W14,4,2026-03-30,0,0,0,0
2026-W15,5,2026-04-06,1,1,1,1
2026-W16,6,2026-04-13,1,0,2,1
2026-W17,7,2026-04-20,0,0,2,1
2026-W18,8,2026-04-27,0,0,2,1
2026-W19,9,2026-05-04,0,0,2,1
2026-W20,10,2026-05-11,1,1,3,2
2026-W21,11,2026-05-18,0,0,3,2
2026-W22,12,2026-05-25,0,0,3,2
2026-W23,13,2026-06-01,2,1,5,3
2026-W24,14,2026-06-08,1,0,6,3
2026-W25,15,2026-06-15,1,0,7,3
2026-W26,16,2026-06-22,0,0,7,3
2026-W27,17,2026-06-29,0,0,7,3
2026-W28,18,2026-07-06,1,0,8,3
2026-W29,19,2026-07-13,2,0,10,3
2026-W30,20,2026-07-20,2,0,12,3
2026-W31,21,2026-07-27,0,0,12,3
2026-W32,22,2026-08-03,0,0,12,3
2026-W33,23,2026-08-10,0,0,12,3
2026-W34,24,2026-08-17,0,0,12,3
2026-W35,25,2026-08-24,0,0,12,3
2026-W36,26,2026-08-31,0,0,12,3
2026-W37,27,2026-09-07,0,0,12,3
2026-W38,28,2026-09-14,0,0,12,3
2026-W39,29,2026-09-21,0,0,12,3
