iso_week,project_week,week_start,sha,prod_loc,test_loc,controls_loc,orchestration_loc,infra_loc,docs_loc,system_model_loc,support_loc,support_ratio,support_ratio_excl_docs
2026-W11,1,2026-03-09,c57785f9c8b02e96beedb0cb26a1873f5e9ec23a,2092,0,0,0,0,122,0,122,0.0583,0.0
2026-W12,2,2026-03-16,,,,,,,,,,,
2026-W13,3,2026-03-23,,,,,,,,,,,
2026-W14,4,2026-03-30,dc8f85169d330682ac7b4bf749dd30dce12f4c17,14892,2702,0,0,31,1397,0,4130,0.2773,0.1835
2026-W15,5,2026-04-06,40aa69a56ee553c1816f2e4e36453e7a7c411300,56240,39459,0,0,8018,22296,0,69773,1.2406,0.8442
2026-W16,6,2026-04-13,0c8cadc88270a12245b386a8981e8121c62c7943,77003,66722,0,256,14067,30449,0,111494,1.4479,1.0525
2026-W17,7,2026-04-20,eeb21f6ebff7776a0f60d54201ff87deaec4a319,144227,138424,0,1120,24808,69671,0,234023,1.6226,1.1395
2026-W18,8,2026-04-27,bc14b9d7ce713e3fe5ea80d48cb1cafa04f54a94,239316,239056,0,2150,33389,139787,0,414382,1.7315,1.1474
2026-W19,9,2026-05-04,237d51e860675949c176e7a99c3aa3390cfd624b,336228,349388,12187,4219,79988,237811,0,683593,2.0331,1.3258
2026-W20,10,2026-05-11,b5880336b9528f9c378beefe5cd627119680501a,378301,459677,16317,6797,110764,537516,0,1131071,2.9899,1.569
2026-W21,11,2026-05-18,0e1939ec33737ddbe1ac6bc85068647677d01a4c,446850,632746,97590,9906,147045,684212,5670,1577169,3.5295,1.9983
2026-W22,12,2026-05-25,bfeec290f6511c3b5b4d21f09be6c8c6adb50d7d,452071,705804,132693,18520,179032,798419,8514,1842982,4.0768,2.3106
2026-W23,13,2026-06-01,1af79e82a167a8549760583596f5f9303202e76d,457099,811924,166022,32034,202580,877243,9490,2099293,4.5926,2.6735
2026-W24,14,2026-06-08,fcdd54b17ee77e06680bd21434b6664c02eae903,460535,882179,197337,53223,214990,965658,11167,2324554,5.0475,2.9507
2026-W25,15,2026-06-15,f01de64a6dc39d68b4715783a23795ae0279487d,460393,1074868,218539,70037,243621,1148936,12291,2768292,6.0129,3.5173
2026-W26,16,2026-06-22,e0bfc151ad39968c94548daee60abeadabc3930a,469855,1187341,234327,71805,260571,1260803,13955,3028802,6.4462,3.7629
2026-W27,17,2026-06-29,82e2da7f206fd077f46a5578361da00e159f8f83,475710,1206699,239164,72901,267691,1297519,14485,3098459,6.5133,3.7858
2026-W28,18,2026-07-06,9671cbfde0942af2c9ca0dc55fa96f3f3f0ca3cd,503487,1248915,253278,73880,280109,1368149,15011,3239342,6.4338,3.7165
2026-W29,19,2026-07-13,51fe2989e855514d8869bf58aad5143d28e52711,525475,1320702,263304,81175,296235,1450105,19376,3430897,6.5291,3.7695
2026-W30,20,2026-07-20,290ca1e21f9a36cd3fb4c7a01e699ea6e70ee914,540185,1369098,276546,89128,326647,1558216,33336,3652971,6.7624,3.8778
2026-W31,21,2026-07-27,63826bd3512305556af5a7287d03092580625901,556953,1404725,285361,94131,352259,1641229,39366,3817071,6.8535,3.9067
2026-W32,22,2026-08-03,14085b72e4f4982bbc30c7adfa701169ad67cee4,572785,1442032,293843,99574,373035,1763431,50331,4022246,7.0223,3.9436
2026-W33,23,2026-08-10,325522035f5b1301a92d006180b74d3e13c79a8a,601431,1482236,302075,102950,384636,1857475,52693,4182065,6.9535,3.8651
2026-W34,24,2026-08-17,001c24368db2a6e5c4cd3f0015150edd3d8b56bf,639286,1529006,312620,106001,390351,1973659,62242,4373879,6.8418,3.7545
2026-W35,25,2026-08-24,9a210a31b96b780bc9857efe450db4fc05769f83,686558,1605322,322530,109546,409472,2112467,72320,4631657,6.7462,3.6693
2026-W36,26,2026-08-31,79c7d6c5543f9447bbae6ae38a9e55a8d8b9f623,720091,1644743,330092,110920,429816,2235331,79492,4830394,6.708,3.6038
2026-W37,27,2026-09-07,69f5f3331a1e66b177260ee0f3744f90bd5c4489,756913,1704723,337630,116836,442042,2370743,92507,5064481,6.691,3.5588
2026-W38,28,2026-09-14,03e8ab76d306e9d769c6795a8fc644b1b1d5bb11,791127,1736045,343262,117312,453341,2436867,105535,5192362,6.5632,3.483
2026-W39,29,2026-09-21,b1b94b5aed87d169753659e4953b05f20357e5bf,807445,1754638,345914,123510,463454,2480744,106709,5274969,6.5329,3.4606
