iso_week,project_week,week_start,register,merge_train_started,merge_train_complete,merge_train_aborted,tombstone,tombstoning_started,gc
2026-W11,1,2026-03-09,,,,,,,
2026-W12,2,2026-03-16,,,,,,,
2026-W13,3,2026-03-23,,,,,,,
2026-W14,4,2026-03-30,,,,,,,
2026-W15,5,2026-04-06,,,,,,,
2026-W16,6,2026-04-13,,,,,,,
2026-W17,7,2026-04-20,,,,,,,
2026-W18,8,2026-04-27,,,,,,,
2026-W19,9,2026-05-04,,,,,,,
2026-W20,10,2026-05-11,,,,,,,
2026-W21,11,2026-05-18,,,,,,,
2026-W22,12,2026-05-25,0,0,0,0,9,0,41
2026-W23,13,2026-06-01,0,0,0,0,154,0,115
2026-W24,14,2026-06-08,0,0,0,0,45,43,9
2026-W25,15,2026-06-15,0,3,3,1,207,749,31
2026-W26,16,2026-06-22,0,1,0,0,204,878,195
2026-W27,17,2026-06-29,0,0,0,0,161,582,7
2026-W28,18,2026-07-06,0,0,0,0,54,266,0
2026-W29,19,2026-07-13,0,1,1,0,101,638,12
2026-W30,20,2026-07-20,0,2,2,0,12,362,14
2026-W31,21,2026-07-27,0,1,1,0,21,328,24
2026-W32,22,2026-08-03,0,333,294,20,146,214,66
2026-W33,23,2026-08-10,0,399,364,14,45,45,5
2026-W34,24,2026-08-17,0,420,392,20,57,57,9
2026-W35,25,2026-08-24,0,592,573,10,192,198,170
2026-W36,26,2026-08-31,1,346,326,6,130,131,292
2026-W37,27,2026-09-07,0,235,221,6,29,27,224
2026-W38,28,2026-09-14,82,297,288,5,97,85,172
2026-W39,29,2026-09-21,268,184,179,2,207,280,112
