iso_week,project_week,week_start,commits_all,commits_agent,commits_automation,commits_human_or_unknown,files_changed,insertions,deletions,churn,net_loc_change,commits_with_diff,agent_landings_merge_train,distinct_agents_landed,agent_launches_registry,epics_created,epics_closed,cum_epics_created,cum_epics_closed,active_epics_estimate,deploy_release_commits,lint_files,gate_scripts_ourdef,system_model_py_files,conversions_new,cum_conversions,genai_deploy_calls,genai_deploy_tokens,genai_deploy_cost_usd
2026-W11,1,2026-03-09,24,0,0,24,72,2557,291,2848,2266,24,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,
2026-W12,2,2026-03-16,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,,,,0,0,,,
2026-W13,3,2026-03-23,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,,,,0,0,,,
2026-W14,4,2026-03-30,84,6,0,78,4727,814067,4710,818777,809357,84,0,0,,0,0,0,0,0,1,0,0,0,0,0,,,
2026-W15,5,2026-04-06,828,753,0,75,3641,567155,112215,679370,454940,828,0,0,,0,0,0,0,0,29,0,1,0,1,1,,,
2026-W16,6,2026-04-13,537,527,0,10,1396,86714,22902,109616,63812,537,0,0,,0,0,0,0,0,28,0,1,0,1,2,,,
2026-W17,7,2026-04-20,1086,1070,0,16,9175,654051,1185322,1839373,-531271,1086,0,0,,0,0,0,0,0,55,0,3,0,0,2,,,
2026-W18,8,2026-04-27,900,883,0,17,4161,533768,78175,611943,455593,900,0,0,,0,0,0,0,0,45,0,4,0,0,2,,,
2026-W19,9,2026-05-04,1446,1424,0,22,6491,512107,54448,566555,457659,1446,0,0,,0,0,0,0,0,92,30,5,0,0,2,,,
2026-W20,10,2026-05-11,1440,1430,0,10,13248,882222,617455,1499677,264767,1440,0,0,,0,0,0,0,0,60,37,5,0,1,3,,,
2026-W21,11,2026-05-18,1934,1747,0,187,16561,785095,136768,921863,648327,1934,0,0,,0,0,0,0,0,134,261,21,13,0,3,,,
2026-W22,12,2026-05-25,3332,2895,0,437,12389,519364,264983,784347,254381,3327,0,0,0,111,45,111,45,66,224,336,25,22,0,3,,,
2026-W23,13,2026-06-01,1891,1668,1,222,13043,604879,71387,676266,533492,1885,0,0,0,55,24,166,69,97,67,395,43,27,2,5,,,
2026-W24,14,2026-06-08,1130,1088,17,25,6725,344983,45375,390358,299608,1126,0,0,0,54,17,220,86,134,6,469,53,34,1,6,,,
2026-W25,15,2026-06-15,2101,2043,11,47,8097,837602,61414,899016,776188,2094,0,0,0,77,14,297,100,197,22,538,61,38,1,7,,,
2026-W26,16,2026-06-22,1354,1342,5,7,5294,341322,601820,943142,-260498,1352,0,0,0,58,12,355,112,243,102,590,72,56,0,7,134,269287,0.3724
2026-W27,17,2026-06-29,995,971,0,24,4619,308739,99503,408242,209236,995,0,0,0,62,14,417,126,291,86,604,72,57,0,7,1133,2860495,3.7444
2026-W28,18,2026-07-06,617,614,0,3,1795,135805,8333,144138,127472,617,0,0,0,55,11,472,137,335,113,635,73,58,1,8,626,1224924,1.7451
2026-W29,19,2026-07-13,1690,1646,30,14,7610,3075974,2559715,5635689,516259,1689,0,0,0,107,48,579,185,394,154,668,81,70,2,10,193,361078,0.5626
2026-W30,20,2026-07-20,1431,1234,130,67,4508,690086,334482,1024568,355604,1431,0,0,0,81,28,660,213,447,168,718,84,100,2,12,1992,4559909,8.0037
2026-W31,21,2026-07-27,1161,1078,14,69,11988,211805,21417,233222,190388,1161,0,0,0,52,28,712,241,471,75,746,95,109,0,12,1342,3131080,5.9254
2026-W32,22,2026-08-03,1339,771,513,55,4398,282077,48452,330529,233625,1339,314,314,0,114,32,826,273,553,88,780,102,146,0,12,1613,3345289,5.3839
2026-W33,23,2026-08-10,801,102,650,49,2963,494405,13298,507703,481107,801,465,465,0,78,33,904,306,598,36,813,103,155,0,12,999,1907059,2.9626
2026-W34,24,2026-08-17,1052,200,811,41,3412,262936,24832,287768,238104,1052,572,572,0,97,34,1001,340,661,32,854,111,182,0,12,1316,2529257,3.954
2026-W35,25,2026-08-24,1286,183,1000,103,6369,470005,22557,492562,447448,1286,812,812,0,96,46,1097,386,711,51,896,121,209,0,12,2023,3947581,6.1238
2026-W36,26,2026-08-31,1034,142,827,65,4425,356794,24180,380974,332614,1034,678,678,1,97,17,1194,403,791,59,926,124,227,0,12,2576,4986536,7.7208
2026-W37,27,2026-09-07,1261,555,666,40,3755,356536,17524,374060,339012,1261,461,461,0,89,34,1283,437,846,42,958,133,274,0,12,824,1589094,2.4843
2026-W38,28,2026-09-14,796,78,680,38,3907,410714,23944,434658,386770,796,516,516,82,56,28,1339,465,874,26,980,138,299,0,12,814,1821179,2.599
2026-W39,29,2026-09-21,489,32,439,18,1545,135594,5871,141465,129723,488,276,276,268,29,14,1368,479,889,8,990,142,300,0,12,405,928320,1.2982
